City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
3,Rikitea,PF,76.06,-23.1203,-134.9692,People ThankYou
4,Arraial Do Cabo,BR,85.86,-22.9661,-42.0278,Pousada Porto Praia
10,Butaritari,KI,81.07,3.0707,172.7902,Isles Sunset Lodge
11,Hithadhoo,MV,83.77,-0.6,73.0833,Scoop Guest House
14,Puerto Ayora,EC,76.96,-0.7393,-90.3518,Finch Bay Galapagos Hotel
18,Victoria,HK,84.33,22.2855,114.1577,Mini Central
19,Atuona,PF,78.19,-9.8,-139.0333,Villa Enata
32,Caravelas,BR,79.39,-17.7125,-39.2481,Pousada dos Navegantes
34,Vaini,TO,77.16,-21.2,-175.2,Keleti Beach Resort
35,Tallahassee,US,89.33,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
39,Vila Velha,BR,80.55,-20.3297,-40.2925,Hotel Vitória Palace
40,Albany,US,76.93,42.6001,-73.9662,
41,Maracacume,BR,82.4,-2.0428,-45.9592,Hotel Ramos
46,Yen Bai,VN,77.83,21.7,104.8667,AK MOTEL
53,Sun City West,US,85.37,33.662,-112.3413,Windmill All Suites Surprise
54,Lucapa,AO,75.34,-8.4192,20.7447,Residência Ulisses Dos Santos
55,Hilo,US,79.29,19.7297,-155.09,Hilo Hawaiian Hotel
58,Eyl,SO,80.58,7.9803,49.8164,Amiin Hotel
64,Lorengau,PG,79.79,-2.0226,147.2712,Lorengau Harbourside Hotel
71,Pore,CO,85.87,5.7272,-71.9947,Casa Medica
73,Buta,CD,79.14,2.7858,24.73,HOTEL BISO NA BISO
74,Kavieng,PG,81.79,-2.5744,150.7967,Nusa Island Retreat
83,Korla,CN,80.37,41.7597,86.1469,Gulisitan Hotel
90,Harper,LR,82.38,4.375,-7.7169,Screensaver
102,Filadelfia,US,81.21,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
105,Monopoli,IT,78.24,40.9559,17.2896,Il Melograno
107,Kudahuvadhoo,MV,83.64,2.6708,72.8944,Niyama Private Islands Maldives
111,Bayeux,BR,79.43,-7.125,-34.9322,Infinity Motel
116,Aryanah,TN,84.38,36.8601,10.1934,فندق تونس الكبير
117,Acari,PE,75.6,-15.4311,-74.6158,HOSPEDAJE XIMENA
121,Tagusao,PH,80.19,9.1924,117.8141,Green Villa beach resort
122,Oussouye,SN,87.12,12.485,-16.5469,Auberge du Routard
124,San Andres,CO,87.82,12.5847,-81.7006,Hotel Arena Blanca
125,San Cristobal,VE,84.38,7.7669,-72.225,Pirineos
126,Tautira,PF,79.32,-17.7333,-149.15,Pension Oaoa
133,Sao Filipe,CV,75.31,14.8961,-24.4956,Hotel Xaguate
137,Bairiki,KI,80.71,1.3292,172.9752,Tarawa Boutique Hotel
138,Avarua,CK,77.05,-21.2078,-159.775,Paradise Inn
139,Capoterra,IT,83.55,39.1763,8.9718,Ariedo Bed And Breakfast
141,Pyapon,MM,80.06,16.2833,95.6833,Aung Naing Thu Motel
142,Marzuq,YE,81.32,14.4,46.4667,
143,Miajadas,ES,86.41,39.1513,-5.9084,Hotel Triana
145,Mayo,US,83.75,38.8876,-76.5119,Resorts Resource Group International
146,Isangel,VU,75.9,-19.55,169.2667,Tanna Lodge
148,Dingle,PH,77.72,10.9995,122.6711,SEGAYA PROPERTY
150,Adre,TD,85.59,13.4667,22.2,
152,Islahiye,TR,77.52,37.025,36.6306,İslahiye Sabanci Teachers
153,Hamilton,US,80.94,39.1834,-84.5333,Six Acres Bed & Breakfast
157,Bukama,CD,75.67,-9.2,25.85,
158,Sao Joao Da Barra,BR,84.29,-21.6403,-41.0511,Pousada Porto De Canoas
164,Salamiyah,SY,85.82,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
166,Juruti,BR,84.36,-2.1522,-56.0922,Pousada Marupiara
167,Kavaratti,IN,83.32,10.5669,72.642,Hotels in Lakshadweep Islands
168,Matara,LK,78.51,5.9485,80.5353,Amaloh Boutique Resort
175,Tomatlan,MX,88.07,19.9333,-105.25,El Salvial
177,Sassandra,CI,82.62,4.95,-6.0833,la terrasse
178,Georgetown,MY,80.53,5.4112,100.3354,Cititel Penang
179,Amahai,ID,78.1,-3.3333,128.9167,HOTEL ISABELA
181,Bambanglipuro,ID,77.18,-7.95,110.2833,Puri Brata
184,Saint George,US,78.64,37.1041,-113.5841,Best Western Plus Abbey Inn
186,Presidente Medici,BR,89.76,-11.1753,-61.9014,Oliveira Palace Hotel
191,Kembe,CF,76.8,4.6228,21.8865,
193,Bathsheba,BB,86.61,13.2167,-59.5167,Atlantis Hotel
194,Bac Lieu,VN,79.7,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
196,Acapulco,MX,85.82,16.8634,-99.8901,HS Hotsson Smart Acapulco
197,Ozark,US,85.82,37.0209,-93.206,Days Inn by Wyndham Ozark Springfield
200,Bethel,US,77.18,41.3712,-73.414,Courtyard by Marriott Danbury
206,Joao Camara,BR,82.35,-5.5375,-35.8197,Pousada Miguel Teixeira
207,Bengkulu,ID,76.23,-3.8004,102.2655,Grage Hotel Bengkulu
212,Honiara,SB,76.68,-9.4333,159.95,Heritage Park Hotel
213,Oranjestad,AW,85.95,12.524,-70.027,Divi Village Golf & Beach Resort
219,Qui Nhon,VN,80.62,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
222,Hannibal,US,83.32,39.7084,-91.3585,Country Hearth Inn Hannibal
224,Viana,BR,80.37,-20.3903,-40.4961,Casa da Lita
225,Villanueva,HN,83.68,15.3167,-88.0,IGLESIA EVANGELICA DEL PRINCIPE DE PAZ
229,Algiers,DZ,82.22,36.7525,3.042,Sofitel Algiers Hamma Garden
232,Samarai,PG,78.06,-10.6167,150.6667,Nuli Sapi
235,Sola,VU,80.42,-13.8833,167.55,Leumerus Bungalows
237,Camacari,BR,83.97,-12.6975,-38.3242,Sítio Blasi
240,Kuala Terengganu,MY,79.93,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
241,Aguilas,ES,83.03,37.4063,-1.5829,Hotel Carlos III
242,Pontecorvo,IT,76.42,41.4616,13.6667,Hotel Ristorante Liolà
247,Bandarbeyla,SO,79.79,9.4942,50.8122,JABIR HOTEL
252,Soyo,AO,75.6,-6.1349,12.3689,Hotel Mpampa
253,Hambantota,LK,79.65,6.1241,81.1185,Bungalow 63
260,Constantine,DZ,87.21,36.365,6.6147,Grand Hotel Cirta
261,Vasyurinskaya,RU,75.09,45.1181,39.424,
263,Kankon,IN,82.26,15.0167,74.0167,Palolem Beach Resort
273,Labuan,MY,81.66,5.2767,115.2417,Tiara Labuan Hotel
274,Guiratinga,BR,89.83,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
278,Denpasar,ID,82.06,-8.65,115.2167,OYO 3156 Hotel Warta 2
283,Kasongo-Lunda,CD,77.41,-6.4667,16.8167,
284,Salinopolis,BR,79.29,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
286,Banjar,ID,76.53,-8.19,114.9675,The Hamsa Resort
291,Nishihara,JP,80.26,26.1842,127.7558,Minshuku Agaihama
292,Springfield,US,84.52,37.2153,-93.2982,Best Western Route 66 Rail Haven
295,Road Town,VG,84.29,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
296,Banda Aceh,ID,80.08,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
297,Olinda,BR,76.73,-8.0089,-34.8553,Flat Quatro Rodas Olinda
300,Yichang,CN,76.23,30.7144,111.2847,Gezhouba Hotel
307,Southbridge,US,77.18,42.0751,-72.0334,Southbridge Hotel & Conference Center
315,Praia,CV,82.94,14.9215,-23.5087,LT Aparthotel
316,Sur,OM,89.06,22.5667,59.5289,Sur Plaza Hotel
334,Tucumcari,US,89.44,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
336,Bubaque,GW,81.73,11.2833,-15.8333,"Casa Dora, Bubaque"
337,Kroya,ID,77.86,-7.6331,109.2461,Devina kost & Homestay Kroya
338,Pochutla,MX,78.82,15.7432,-96.4661,Hotel Posada San Jose
339,Tullahoma,US,82.98,35.362,-86.2094,Quality Inn
345,Miranda,CO,80.73,3.2499,-76.2281,unidiversidad organica la utopia
