City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bongor,TD,2022-05-29 17:05:13,10.2806,15.3722,98.85,16,61,3.85,broken clouds
1,Grindavik,IS,2022-05-29 17:05:13,63.8424,-22.4338,55.87,76,40,9.22,fog
2,Cherskiy,RU,2022-05-29 17:05:14,68.75,161.3,38.32,60,77,5.46,broken clouds
3,Rikitea,PF,2022-05-29 17:05:14,-23.1203,-134.9692,76.06,67,91,12.08,overcast clouds
4,Arraial Do Cabo,BR,2022-05-29 17:03:07,-22.9661,-42.0278,85.86,51,0,8.05,clear sky
5,East London,ZA,2022-05-29 17:05:14,-33.0153,27.9116,59.11,67,39,20.98,light rain
6,Buenos Aires,AR,2022-05-29 17:02:30,-34.6132,-58.3772,54.95,42,6,1.99,clear sky
7,Severo-Kurilsk,RU,2022-05-29 17:05:15,50.6789,156.125,40.53,96,72,9.82,broken clouds
8,Ozerne,UA,2022-05-29 17:05:15,50.1782,28.7338,57.65,67,97,6.49,overcast clouds
9,Punta Arenas,CL,2022-05-29 17:00:18,-53.15,-70.9167,44.11,65,8,22.35,clear sky
10,Butaritari,KI,2022-05-29 17:05:16,3.0707,172.7902,81.07,72,97,14.16,overcast clouds
11,Hithadhoo,MV,2022-05-29 17:05:16,-0.6,73.0833,83.77,72,92,10.07,overcast clouds
12,Ushuaia,AR,2022-05-29 17:05:16,-54.8,-68.3,38.86,81,100,24.16,light intensity drizzle
13,Saldanha,ZA,2022-05-29 17:05:17,-33.0117,17.9442,58.93,61,7,15.61,clear sky
14,Puerto Ayora,EC,2022-05-29 17:05:17,-0.7393,-90.3518,76.96,74,98,9.31,overcast clouds
15,Mar Del Plata,AR,2022-05-29 17:05:17,-38.0023,-57.5575,54.09,67,75,11.5,broken clouds
16,Torbay,CA,2022-05-29 17:03:20,47.6666,-52.7314,50.14,98,100,12.97,overcast clouds
17,Lompoc,US,2022-05-29 17:05:18,34.6391,-120.4579,74.57,68,0,16.11,clear sky
18,Victoria,HK,2022-05-29 17:04:04,22.2855,114.1577,84.33,86,75,10.0,broken clouds
19,Atuona,PF,2022-05-29 17:05:18,-9.8,-139.0333,78.19,74,25,19.37,scattered clouds
20,Kodiak,US,2022-05-29 17:05:18,57.79,-152.4072,53.11,76,0,3.44,clear sky
21,Geraldton,AU,2022-05-29 17:05:18,-28.7667,114.6,50.41,71,0,6.91,clear sky
22,Cape Town,ZA,2022-05-29 17:04:02,-33.9258,18.4232,59.34,63,8,1.99,clear sky
23,Jamestown,US,2022-05-29 17:05:14,42.097,-79.2353,73.53,60,75,7.0,broken clouds
24,Hobart,AU,2022-05-29 17:05:19,-42.8794,147.3294,44.46,90,93,3.44,overcast clouds
25,Salinas,US,2022-05-29 17:01:46,36.6777,-121.6555,65.57,61,0,6.91,clear sky
26,Hermanus,ZA,2022-05-29 17:05:19,-34.4187,19.2345,56.8,58,39,10.85,scattered clouds
27,Kapaa,US,2022-05-29 17:05:20,22.0752,-159.319,72.12,96,75,3.44,broken clouds
28,Zheleznodorozhnyy,RU,2022-05-29 17:05:20,55.7503,38.0042,59.52,59,55,5.86,broken clouds
29,Shimoda,JP,2022-05-29 17:05:20,34.6667,138.95,68.04,72,54,9.35,broken clouds
30,Mataura,NZ,2022-05-29 17:05:21,-46.1927,168.8643,40.48,87,100,3.42,overcast clouds
31,Dunedin,NZ,2022-05-29 17:01:00,-45.8742,170.5036,49.8,82,100,8.01,overcast clouds
32,Caravelas,BR,2022-05-29 17:05:21,-17.7125,-39.2481,79.39,69,56,7.0,broken clouds
33,Wajima,JP,2022-05-29 17:05:21,37.4,136.9,64.49,74,52,3.58,broken clouds
34,Vaini,TO,2022-05-29 17:05:22,-21.2,-175.2,77.16,94,75,5.75,broken clouds
35,Tallahassee,US,2022-05-29 17:04:11,30.4383,-84.2807,89.33,53,75,3.44,broken clouds
36,Porto Santo,PT,2022-05-29 17:05:22,33.072,-16.3415,71.98,68,20,14.97,few clouds
37,Carnarvon,AU,2022-05-29 17:05:22,-24.8667,113.6333,68.7,41,100,23.53,overcast clouds
38,Barrow,US,2022-05-29 17:01:39,71.2906,-156.7887,28.42,86,100,13.8,overcast clouds
39,Vila Velha,BR,2022-05-29 17:04:55,-20.3297,-40.2925,80.55,78,75,9.22,broken clouds
40,Albany,US,2022-05-29 17:05:23,42.6001,-73.9662,76.93,46,11,2.86,few clouds
41,Maracacume,BR,2022-05-29 17:05:23,-2.0428,-45.9592,82.4,80,83,5.68,broken clouds
42,San Felipe,VE,2022-05-29 17:05:23,10.3399,-68.7425,96.39,28,24,3.18,few clouds
